Name,Ownership,Category,Year of Establishment
"Ritman University, Ikot Ekpene, Akwa Ibom",Private,University,2005
"Salem University, Lokoja",Private,University,2009
"Samuel Adegboyega University, Ogwa",Private,University,2007
"Southwestern University, Oku Owa",Private,University,2007
"Summit University, Offa",Private,University,2015
"Tansian University, Umunya",Private,University,2007
"University of Mkar, Mkar",Private,University,2005
"Veritas University, Abuja",Private,University,2007
"Wellspring University, Evbuobanose - Edo State",Private,University,2009
Wesley University Ondo,Private,University,2007
"Western Delta University, Oghara, Delta State",Private,University,2007
Christopher University Mowe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Private,University,2015
"Kola Daisi University Ibadan, Oyo State",Private,University,2016
Anchor University Ayobo Lagos State,Private,University,2016
Dominican University Ibadan Oyo State,Private,University,2016
"Legacy University, Okija, Anambra State",Private,University,2016
Arthur Javis University Akpoyubo Cross river State,Private,University,2016
"Crown Hill University Eiyenkorin, Kwara State",Private,University,2016
Coal City University Enugu State,Private,University,2016
Clifford University Owerrinta Abia State,Private,University,2016
"Admiralty University of Nigeria, Ibua Delta State",Private,University,2017
"Spiritan University, Nneochi Abia State",Private,University,2017
"Precious Cornerstone University, Oyo",Private,University,2017
"PAMO University of Medical Sciences, Portharcourt",Private,University,2017
Atiba University Oyo,Private,University,2017
"Eko University of Medical and Health Sciences Ijanikin, Lagos",Private,University,2017
"Skyline University, Kano",Private,University,2017
"Greenfield University, Kaduna",Private,University,2018
"Dominion University Ibadan, Oyo State",Private,University,2019
Trinity University Ogun State,Private,University,2019
"Westland University Iwo, Osun State",Private,University,2019
"Topfaith University, Mkpatak, Akwa Ibom State",Private,University,2021
"Thomas Adewumi University, Oko-Irese, Kwara State",Private,University,2021
"Maranathan University, Mgbidi, Imo State",Private,University,2021
"Ave Maria University, Piyanko, Nasarawa State",Private,University,2021
"Al-Istiqama University, Sumalia,  Kano State",Private,University,2021
"Mudiame University, Irrua, Edo State",Private,University,2021
"Havilla University, Nde-Ikom, Cross River State",Private,University,2021
"Claretian University of Nigeria, Nekede, Imo State",Private,University,2021
"NOK University, Kachia, Kaduna State",Private,University,2021
"Karl-Kumm University, Vom, Plateau State",Private,University,2021
"James Hope University, Lagos, Lagos State",Private,University,2021
"Maryam Abacha American University of Nigeria, Kano State",Private,University,2021
"Capital City University, Kano State",Private,University,2021
"Ahman Pategi University, Kwara State",Private,University,2021
"University of Offa, Kwara State",Private,University,2021
"Mewar International University, Masaka, Nasarawa State",Private,University,2021
"Edusoko University, Bida, Niger State",Private,University,2021
"Philomath University, Kuje, Abuja",Private,University,2021
"Khadija University, Majia, Jigawa State",Private,University,2021
"Anan University, Kwali, Plateau State",Private,University,2021
"PEN Resource University, Gombe",Private,University,2022
"Al-Ansar University, Maiduguri, Borno",Private,University,2022
"Margaret Lawrence University, Umunede, Delta State",Private,University,2022
"Khalifa Isiyaku Rabiu University, Kano",Private,University,2022
"Sports University, Idumuje, Delta State",Private,University,2022
"Baba Ahmed University, Kano State",Private,University,2022
"Saisa University of Medical Sciences and Technology, Sokoto State",Private,University,2022
"Nigerian British University, Asa, Abia State",Private,University,2022
"Peter University, Achina-Onneh Anambra State",Private,University,2022
"Newgate University, Minna, Niger State",Private,University,2022
"European University of Nigeria, Doboyi, FCT",Private,University,2022
NorthWest University Sokoto State,Private,University,2022
"Akanu Ibiam Federal Polytechnic Unwana, P.M.B. 1007, Afikpo, Ebonyi State",Federal Government,Polytechnic,1981
"Auchi Polytechnic, Auchi, Edo State",Federal Government,Polytechnic,1973
"Federal Polytechnic Ado Ekiti, Ekiti State",Federal Government,Polytechnic,1977
"Federal Polytechnic Bali, Taraba State",Federal Government,Polytechnic,2007
"Federal Polytechnic Bauchi, P.M.B. 231, Bauchi State",Federal Government,Polytechnic,1979
"Federal Polytechnic Bida, P.M.B 55, Niger State",Federal Government,Polytechnic,1977
"Federal Polytechnic Damaturu, P.M.B. 1006, Yobe State",Federal Government,Polytechnic,1993
"Federal Polytechnic, Daura, Kastina State",Federal Government,Polytechnic,2019
"Federal Polytechnic Ede, Osun State",Federal Government,Polytechnic,1992
"Federal Polytechnic Ekowe, Bayelsa State",Federal Government,Polytechnic,2007
"Federal Polytechnic Idah P.M.B 1035, Kogi State",Federal Government,Polytechnic,1977
"Federal Polytechnic Ilaro, P.M.B 50, Ogun State",Federal Government,Polytechnic,1979
"Federal Polytechnic Ile-Oluji, Ondo State",Federal Government,Polytechnic,2016
"Federal Polytechnic Kaura Namoda, P.M.B 1012, Zamfara State",Federal Government,Polytechnic,1983
"Federal Polytechnic Kaltungo, Gombe State",Federal Government,Polytechnic,2019
"Federal Polytechnic Mubi, PMB 35 Mubi, Adamawa State",Federal Government,Polytechnic,1979
"Federal Polytechnic Nasarawa, P.M.B. 01, Nasarawa State",Federal Government,Polytechnic,1983
"Federal Polytechnic Nekede, P.M.B 1036, Owerri, Imo State",Federal Government,Polytechnic,1977
"Federal Polytechnic Offa, P.M.B 420, Kwara State",Federal Government,Polytechnic,1992
"Federal Polytechnic Oko, Anambra State",Federal Government,Polytechnic,1982
"Federal Polytechnic of Oil and Gas Bonny, Rivers State",Federal Government,Polytechnic,2014
"Federal Polytechnic Ukana, P.M.B 2014 Akwa Ibom State",Federal Government,Polytechnic,2014
"Hussaini Adamu Federal Polytechnic, P.M.B 5004, Kazaure Jigawa State",Federal Government,Polytechnic,1991
"Kaduna Polytechnic, Kaduna",Federal Government,Polytechnic,1956
National Institute of Construction Technology Uromi,Federal Government,Polytechnic,2014
